SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1539.95,1548.00,1485.90,1514.00,1514.00,1533.05,649,5276,8007711.00,
500003,AEGIS LOGIS ,A ,Q,215.50,218.20,213.15,214.15,214.15,214.00,209,7623,1648546.00,
500008,AMAR RAJA BA,A ,Q,644.90,651.00,638.85,647.45,645.70,644.90,525,16670,10761932.00,
500009,A.SARABHAI  ,X ,Q,12.60,12.99,12.35,12.78,12.80,12.77,24,6595,82246.00,
500010,HDFC        ,A ,Q,2225.65,2253.80,2220.10,2227.40,2228.95,2232.70,6570,126701,282739966.00,
500012,ANDHRA PETRO,X ,Q,51.25,51.90,50.40,50.60,50.45,51.10,103,9823,500087.00,
500013,ANSAL INFRAS,B ,Q,5.16,5.27,4.99,5.04,5.00,5.16,23,4309,21853.00,
500014,APPLE FINANC,XT,Q,1.41,1.41,1.41,1.41,1.41,1.41,3,117,164.00,
500020,BOM DYEING  ,A ,Q,102.45,103.55,100.75,101.45,101.50,101.90,900,76292,7763282.00,
500024,ASSAMCO     ,T ,Q,1.47,1.47,1.37,1.37,1.37,1.44,15,19274,26598.00,
500027,ATUL LTD.   ,A ,Q,3970.00,3970.00,3761.75,3792.30,3763.85,3900.05,398,1060,4057576.00,
500028,ATV PROJECTS,XT,Q,3.30,3.32,3.30,3.32,3.32,3.45,4,1150,3816.00,
500029,AUTOLITE(I) ,Z ,Q,23.90,23.90,23.35,23.35,23.35,23.90,4,2200,52470.00,
500031,BAJAJ ELECT.,A ,Q,484.70,487.00,453.90,457.45,457.45,482.15,887,11541,5396409.00,
500032,BAJAJHIND   ,B ,Q,7.24,7.34,7.15,7.19,7.19,7.25,117,136355,986536.00,
500033,FORCE MOTR  ,A ,Q,1322.80,1361.90,1285.00,1295.35,1295.35,1323.20,1679,13837,18242990.00,
500034,BAJFINANCE  ,A ,Q,3603.00,3603.00,3412.00,3426.55,3426.55,3603.35,10392,140453,492977523.00,
500038,BALRAM.CHINI,A ,Q,148.20,155.45,148.20,154.10,154.10,149.45,1036,57007,8767130.00,
500039,BANCO PROD. ,B ,Q,117.80,117.90,116.95,117.30,116.95,118.05,20,420,49280.00,
500040,CENTURY TEXT,A ,Q,913.10,920.00,891.00,895.95,891.00,911.85,1046,21923,19786005.00,
500041,BANNARI AMAN,B ,Q,1494.95,1494.95,1430.70,1430.70,1430.70,1425.90,2,2,2925.00,
500042,BASF INDIA  ,A ,Q,1236.00,1236.00,1187.60,1193.50,1194.25,1239.00,254,1672,2016120.00,
500043,BATA INDIA  ,A ,Q,1387.80,1390.10,1362.25,1367.50,1370.90,1388.65,1125,28281,38876439.00,
500048,BEML LTD    ,A ,Q,868.00,876.00,849.00,853.00,852.00,878.30,1538,41909,36190414.00,
500049,BHARAT ELECT,A ,Q,107.40,107.40,103.40,103.90,103.90,107.25,2825,515553,53956548.00,
500052,BHANSALI ENG,B ,Q,63.80,64.30,63.00,63.45,63.50,63.15,956,100341,6378751.00,
500055,TATASTLBSL  ,B ,Q,29.00,29.20,27.95,28.25,28.25,28.95,233,69314,1965983.00,
500058,BIHAR SPONGE,XT,Q,0.78,0.86,0.78,0.86,0.86,0.82,6,1056,824.00,
500059,BINANI IND. ,Z ,Q,15.55,17.15,15.55,17.15,17.15,16.34,59,11272,191548.00,
500060,BIRLACABLE  ,B ,Q,83.30,98.75,83.25,91.20,90.90,83.10,900,34077,3169832.00,
500067,BLUE STAR   ,A ,Q,734.25,750.00,727.90,731.85,737.00,734.25,413,3858,2842011.00,
500068,DISA INDIA  ,X ,Q,5409.00,5409.00,5399.00,5400.00,5400.00,5409.00,4,16,86404.00,
500069,BNK CAPITAL ,X ,Q,86.30,86.30,85.00,86.25,85.00,89.00,3,949,81840.00,
500074,BPL LTD.    ,B ,Q,21.75,22.00,20.60,20.90,20.85,21.15,76,11024,233212.00,
500078,OAL         ,X ,Q,207.00,209.85,200.40,201.65,200.40,203.25,40,1741,355445.00,
500083,CENTURY EXT ,B ,Q,3.62,3.70,3.51,3.58,3.51,3.59,13,3373,12195.00,
500084,CESC LTD.   ,A ,Q,789.75,794.25,770.15,774.90,774.40,785.20,680,22174,17398983.00,
500085,CHAMBAL FERT,A ,Q,166.90,168.90,157.40,158.75,158.75,166.00,2050,64367,10457220.00,
500086,EXIDE IND.  ,A ,Q,200.45,202.60,198.15,199.35,199.40,199.85,770,32583,6516701.00,
500087,CIPLA LTD.  ,A ,Q,548.85,550.95,542.15,544.65,544.65,548.45,490,19638,10729319.00,
500089,DIC INDIA   ,B ,Q,311.50,320.00,311.50,320.00,320.00,319.15,2,11,3435.00,
500092,CRISIL LTD  ,A ,Q,1434.25,1460.90,1434.10,1444.05,1446.50,1425.10,169,680,982157.00,
500093,CGPOWER     ,A ,Q,23.05,23.35,22.15,22.40,22.35,23.30,437,155438,3507362.00,
500096,DABUR (I)   ,A ,Q,406.35,410.60,404.90,409.65,409.95,406.35,1489,69868,28556632.00,
500097,DALMIASUG   ,B ,Q,101.00,101.00,98.00,98.65,98.15,100.95,174,12439,1235489.00,
500101,ARVIND Ltd  ,A ,Q,63.30,63.85,57.95,59.40,59.40,63.15,2704,817280,48695749.00,
500102,BALARPUR IND,B ,Q,1.62,1.66,1.56,1.60,1.60,1.70,91,89981,143967.00,
500103,BHEL        ,A ,Q,68.40,68.45,66.20,66.75,66.75,67.15,2266,565650,37891949.00,
500104,HIND.PETRO  ,A ,Q,286.00,292.20,281.75,286.70,285.90,288.10,10019,284691,81755565.00,
500106,IFCI LTD    ,A ,Q,8.60,8.80,8.50,8.52,8.52,8.73,197,99297,858903.00,
500108,MAHA.TELE   ,B ,Q,8.05,8.18,7.92,7.96,7.96,8.05,190,74788,597694.00,
500109,MRPL        ,A ,Q,61.00,61.00,58.00,58.40,58.50,58.50,244,68400,3992941.00,
500110,CHENNAI PET.,A ,Q,189.95,189.95,180.25,182.80,181.00,189.30,619,35904,6619312.00,
500111,REL.CAP.    ,A ,Q,58.80,59.05,54.40,55.95,55.95,59.15,7910,2475489,140326288.00,
500112,STATE BANK  ,A ,Q,360.30,361.70,351.35,354.20,354.20,359.15,9846,1309501,463230193.00,
500113,STEEL AUTH. ,A ,Q,46.90,47.25,45.15,45.85,45.85,46.90,2687,1239115,56854932.00,
500114,TITAN       ,A ,Q,1104.00,1125.35,1089.20,1101.20,1101.20,1099.10,10008,314525,349014773.00,
500116,IDBI BANK L ,A ,Q,34.95,35.25,34.20,34.45,34.25,34.85,643,300720,10383746.00,
500117,DCW LTD.    ,B ,Q,16.60,17.00,16.40,16.50,16.50,16.70,91,36088,604849.00,
500119,DHAMPUR SUGA,B ,Q,190.00,191.00,186.25,187.05,187.00,190.20,463,22433,4226641.00,
500120,DIAMINES&CHM,X ,Q,123.25,129.80,123.25,126.50,128.25,129.85,26,4278,535370.00,
500123,ELANTAS     ,B ,Q,2048.00,2060.00,2048.00,2060.00,2060.00,2048.00,5,233,477244.00,
500124,DR.REDDY'S  ,A ,Q,2595.05,2602.55,2573.35,2583.95,2586.00,2596.05,568,7307,18896632.00,
500125,E.I.D.PAR   ,A ,Q,167.20,172.40,164.70,165.30,165.50,169.10,357,13940,2334967.00,
500126,PGHL        ,A ,Q,4075.40,4118.25,4020.00,4100.00,4089.30,4050.35,749,5670,23000882.00,
500128,ELEC.CASTING,B ,Q,16.75,16.75,16.20,16.25,16.25,16.65,37,6735,110207.00,
