SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500132,EMPEE SUGARS,Z ,Q,0.69,0.69,0.69,0.69,0.69,0.66,2,350,241.00,
500133,ESAB INDIA  ,B ,Q,1060.60,1082.00,1060.55,1076.70,1082.00,1074.00,9,75,80019.00,
500135,ESSEL PROP  ,B ,Q,130.00,130.60,129.85,130.10,130.30,130.15,68,2597,337871.00,
500136,ESTER INDUS.,B ,Q,30.00,30.00,28.70,28.80,28.70,29.55,24,1643,47926.00,
500141,FERRO ALLOYS,X ,Q,3.15,3.25,3.10,3.17,3.16,3.13,36,8762,27526.00,
500143,P.H.CAPITAL ,X ,Q,11.36,11.36,11.36,11.36,11.36,10.82,2,1200,13632.00,
500144,FINOL. CABLE,A ,Q,401.30,403.45,397.05,398.25,397.05,399.10,132,1251,499173.00,
500147,CMI FPE     ,X ,Q,1050.00,1050.00,1050.00,1050.00,1050.00,1051.75,2,17,17850.00,
500148,UFLEX LTD   ,A ,Q,232.00,234.85,227.80,228.15,228.30,233.40,201,7152,1649898.00,
500150,FOSECO INDIA,B ,Q,1249.00,1249.00,1249.00,1249.00,1249.00,1248.50,1,10,12490.00,
500151,GOLDEN TOB  ,B ,Q,31.75,32.50,31.55,32.50,32.50,32.00,7,560,17923.00,
500153,GANESH BENZO,X ,Q,36.50,37.00,35.50,35.65,35.90,36.55,75,10648,384733.00,
500155,GARDEN SILK ,B ,Q,13.85,13.85,13.58,13.60,13.60,14.06,7,254,3490.00,
500159,METROGLOBL  ,X ,Q,55.15,55.60,55.15,55.55,55.55,63.00,3,292,16232.00,
500160,GTL LTD.    ,B ,Q,2.78,2.78,2.61,2.75,2.75,2.65,14,23745,65724.00,
500163,GODFREY PH  ,A ,Q,795.75,795.75,765.70,773.35,767.70,790.55,222,2552,1982955.00,
500164,GODREJ IND  ,A ,Q,486.00,493.05,483.35,485.40,484.30,483.95,413,674489,327464939.00,
500165,KANSAI NERO ,A ,Q,422.75,428.00,412.65,426.10,424.00,426.70,303,4547,1907177.00,
500166,GOODRICKE   ,X ,Q,191.10,194.40,185.30,187.80,189.90,192.70,47,1386,261434.00,
500168,GOODYEAR (I),B ,Q,950.00,950.05,930.10,933.50,933.50,949.05,120,2061,1935900.00,
500170,GTN INDUS   ,B ,Q,7.60,7.60,7.60,7.60,7.60,7.86,1,100,760.00,
500171,GHCL LTD    ,A ,Q,226.40,226.40,220.10,222.15,221.30,228.15,216,4227,949484.00,
500173,GUJ.FLOURO  ,A ,Q,902.15,926.00,901.60,923.70,924.35,909.95,96,552,505328.00,
500179,HCL INFOSYS ,B ,Q,12.06,12.11,11.75,11.89,11.95,12.06,167,48950,580270.00,
500180,HDFC BANK   ,A ,Q,2384.90,2397.15,2365.45,2386.25,2390.00,2379.00,5009,110371,263461815.00,
500182,HEROMOTOCO  ,A ,Q,2440.00,2454.20,2393.00,2400.15,2398.05,2441.20,1783,16847,40709763.00,
500183,HIMACHAL FUT,A ,Q,19.90,20.40,19.70,20.20,20.20,19.80,889,358470,7175419.00,
500184,HSCL        ,A ,Q,100.10,101.00,97.00,97.30,97.30,99.65,483,23016,2271964.00,
500185,HIND.CONSTN.,A ,Q,11.33,11.33,10.79,10.83,10.83,11.11,296,101224,1107124.00,
500186,HIND.OIL EXP,B ,Q,124.75,126.50,123.35,124.00,123.50,125.10,240,15429,1916635.00,
500187,HSIL        ,B ,Q,243.05,245.25,237.20,237.90,237.50,244.85,182,2207,530440.00,
500188,HINDUS.ZI   ,A ,Q,234.90,234.90,222.35,223.20,223.70,230.70,1008,39660,8962664.00,
500189,HINDUJA VENT,B ,Q,331.30,331.30,325.25,329.35,325.25,327.55,13,50,16455.00,
500191,HMT LTD.    ,Z ,Q,15.00,15.90,15.00,15.75,15.80,15.75,13,2125,33271.00,
500192,PRAG BOSIMI ,XT,Q,2.52,2.75,2.52,2.75,2.75,2.65,2,200,527.00,
500193,HOTEL LEELA.,B ,Q,8.11,8.11,7.89,7.99,8.05,8.09,43,6410,51195.00,
500199,I.G.PETRO   ,B ,Q,239.05,242.35,238.20,239.70,240.35,239.50,36,714,171781.00,
500201,IND.GLYCOLS ,B ,Q,228.15,228.35,226.45,227.80,227.00,227.70,70,1553,353395.00,
500207,INDO RAMA   ,B ,Q,27.00,27.00,26.30,26.30,26.90,26.65,14,7223,194670.00,
500209,INFOSYS LTD ,A ,Q,710.15,722.60,706.70,716.90,716.90,715.40,4680,230925,165367736.00,
500210,INGERSOLL   ,B ,Q,608.00,626.15,602.05,619.95,618.55,610.65,158,1456,890969.00,
500211,INSILCO LTD.,X ,Q,14.85,14.85,14.75,14.80,14.80,14.85,7,441,6529.00,
500212,INTEG.FIN.SE,XT,Q,31.80,31.80,31.80,31.80,31.80,30.40,2,225,7155.00,
500213,INTER.TRAVEL,X ,Q,102.95,102.95,83.00,92.55,92.70,98.35,172,11917,1086623.00,
500214,ION EXCHANGE,X ,Q,622.00,639.00,615.10,616.40,616.40,627.85,391,9644,6028469.00,
500215,AGRO TECH FO,B ,Q,498.75,498.75,497.00,497.00,497.15,497.50,6,50,24897.00,
500219,JAIN IRRIG  ,A ,Q,24.75,24.90,23.85,24.15,24.15,24.45,601,193222,4687642.00,
500220,JASCH INDUST,X ,Q,46.65,46.65,46.20,46.25,46.20,47.90,12,1975,91888.00,
500223,JCT LTD     ,X ,Q,1.17,1.22,1.15,1.16,1.16,1.15,75,69879,82502.00,
500227,JINDAL POLYF,B ,Q,241.45,246.85,235.00,245.30,245.30,241.15,68,485,117554.00,
500228,JSWSL       ,A ,Q,261.75,264.00,252.15,254.95,254.95,262.45,2973,399494,102347689.00,
500231,UMANG DAIR  ,B ,Q,48.90,49.35,48.90,49.35,49.35,49.20,18,242,11893.00,
500233,KAJARIA CER.,A ,Q,566.00,571.10,554.75,556.35,555.05,565.70,853,37878,21335182.00,
500234,KAKATIYA CEM,B ,Q,175.90,177.00,173.60,174.05,174.00,177.15,47,1161,202809.00,
500235,KALYANI STEL,B ,Q,199.80,203.50,197.25,197.95,197.65,198.85,176,2681,535183.00,
500236,KANELIND    ,X ,Q,1.09,1.09,1.09,1.09,1.09,1.14,1,50,54.00,
500238,WHIRLPOOL   ,A ,Q,1551.95,1582.70,1543.80,1555.35,1548.25,1551.85,211,1083,1685117.00,
500239,KG DENIM    ,X ,Q,38.00,39.80,35.90,36.40,36.40,38.75,41,3627,133960.00,
500240,KINETIC ENG.,X ,Q,46.75,49.40,46.50,47.25,46.80,45.65,387,32456,1553783.00,
500241,KIRL.BROS.  ,B ,Q,195.00,196.50,189.65,192.35,194.00,190.20,399,11160,2162519.00,
500243,KIRL INDUS  ,B ,Q,775.05,795.00,770.00,780.00,780.00,778.05,6,13,10160.00,
500245,KIRL.FERROUS,B ,Q,85.50,87.00,85.00,85.65,85.55,85.45,151,31071,2661074.00,
500246,ENVAIN ELECT,X ,Q,36.90,36.90,36.90,36.90,36.90,36.90,2,501,18486.00,
500247,KOTAK MAH.BK,A ,Q,1466.65,1481.15,1461.25,1475.60,1475.60,1463.10,2653,87792,129520247.00,
500249,KSB         ,B ,Q,703.00,704.95,687.55,689.85,687.55,710.20,95,340,235872.00,
500250,L.G.BALKRISH,B ,Q,326.00,328.95,322.00,322.10,322.05,329.30,61,350,113245.00,XD
500251,TRENT LTD.  ,A ,Q,445.00,450.00,431.60,434.90,435.00,441.55,516,9846,4343125.00,
500252,LAXMIMACH   ,A ,Q,4897.20,4900.00,4750.00,4763.50,4752.00,4851.80,219,1893,9033263.00,
500253,LIC HOUS.FIN,A ,Q,574.00,574.50,537.00,541.65,541.65,571.50,2292,119337,65803118.00,
500254,UTTAMVALUE  ,B ,Q,0.19,0.19,0.19,0.19,0.19,0.19,11,36556,6945.00,
500257,LUPIN LTD.  ,A ,Q,752.00,762.00,748.30,760.05,760.05,750.90,1490,54115,40939357.00,
500259,LYKA LABS   ,B ,Q,21.95,22.05,21.00,22.00,22.05,21.15,26,7006,150195.00,
500260,RAMCOCEM    ,A ,Q,781.15,791.05,776.70,786.80,786.00,778.30,315,4186,3278111.00,
500264,MAFATLAL IND,X ,Q,89.00,89.00,88.10,88.45,88.20,93.10,11,62,5493.00,
500265,MAH.SEAMLESS,B ,Q,413.00,413.00,406.30,411.65,411.65,414.10,66,790,324114.00,
500266,MAH.SCOOTER ,B ,Q,4375.00,4400.00,4218.95,4250.60,4238.00,4352.90,241,718,3115593.00,
500267,MAJESTIC AUT,X ,Q,159.90,159.90,147.00,148.45,148.45,155.30,217,18955,2852971.00,
500268,MANALI PETRO,B ,Q,22.85,22.85,22.55,22.60,22.60,22.55,52,10140,229749.00,
500271,MFSL        ,A ,Q,413.65,418.20,406.30,410.65,410.05,416.65,490,19623,8052556.00,
500277,MID INDIA IN,XT,Q,0.40,0.40,0.40,0.40,0.40,0.39,1,200,80.00,
500279,MIRC ELECT  ,B ,Q,16.50,16.50,15.80,16.00,16.00,16.30,50,12272,198102.00,
500280,CENTURY ENKA,B ,Q,214.30,214.80,208.00,211.45,210.50,213.20,249,14125,2960065.00,
500284,LORDS CHLORO,XT,Q,36.00,36.00,35.25,35.50,35.50,36.85,3,20,708.00,
500285,SPICEJET LTD,A ,Q,122.10,128.25,119.00,119.60,119.60,117.25,57626,6044655,746193609.00,
500288,MOREPEN LAB.,B ,Q,17.35,17.50,17.10,17.20,17.20,17.15,116,31081,535439.00,
500290,MRF LTD.    ,A ,Q,54550.00,55300.00,54550.00,55201.45,55160.00,54648.75,266,464,25588964.00,
500292,HEIDEL CEM  ,A ,Q,191.45,193.90,188.70,190.05,190.20,191.55,206,7355,1404351.00,
500294,NCC         ,A ,Q,93.50,93.80,87.65,89.10,89.20,92.95,2444,780021,70218061.00,
500295,VEDL        ,A ,Q,160.05,162.10,156.95,160.00,160.00,161.55,3444,483279,77108824.00,
500296,NAHAR SPG.  ,B ,Q,65.80,66.00,64.95,65.10,65.15,66.25,14,705,45962.00,
500298,NAT.PEROXIDE,B ,Q,1866.40,1888.40,1853.00,1858.05,1858.05,1866.40,394,3113,5795666.00,
500300,GRASIM IND. ,A ,Q,917.70,919.15,905.00,913.85,914.05,911.10,1611,201764,184149394.00,
500302,PEL         ,A ,Q,2015.00,2015.00,1924.65,1937.65,1937.65,1990.80,2484,48773,95536511.00,
500304,NIIT LTD.   ,B ,Q,100.00,100.00,96.25,96.80,96.75,100.00,344,24814,2411782.00,
500306,JAYKAY      ,X ,Q,4.37,4.40,4.36,4.37,4.37,4.50,10,462,2019.00,
500307,NIRLON      ,B ,Q,200.50,202.00,200.50,201.05,201.05,201.50,21,6117,1227071.00,
500312,ONGC CORPN  ,A ,Q,154.00,154.05,149.70,151.65,151.65,153.45,1612,186711,28358741.00,
500313,OIL COUNTRY ,B ,Q,7.50,7.96,7.25,7.75,7.75,7.35,36,3524,26344.00,
500314,ORIENT HOTEL,B ,Q,38.05,38.05,37.55,38.00,37.95,38.60,21,1219,46203.00,
500315,ORINTAL BANK,A ,Q,90.65,91.00,88.30,88.95,88.95,89.20,582,88361,7910494.00,
500317,OSWAL AGRO. ,B ,Q,7.35,7.35,6.39,6.57,6.57,6.46,44,9767,65497.00,
500319,INDIAN SUCRO,XT,Q,19.90,19.90,18.65,18.65,18.65,19.00,2,1005,18749.00,
500325,RELIANCE    ,A ,Q,1281.20,1288.70,1269.00,1278.35,1278.35,1279.45,9892,384665,491147695.00,
500327,PILITA      ,B ,Q,9.50,9.50,8.87,9.14,9.10,8.95,110,226482,2079088.00,
500329,PENTAMED.G  ,X ,Q,0.25,0.26,0.24,0.26,0.26,0.25,46,66978,16999.00,
500330,RAYMOND     ,A ,Q,711.55,716.40,694.15,699.60,699.60,714.25,1142,36478,25569812.00,
500331,PIDILITE    ,A ,Q,1175.35,1187.20,1174.85,1182.60,1182.60,1177.80,636,9699,11464554.00,
500333,PIX TRANS   ,X ,Q,173.95,179.80,173.20,175.65,177.00,179.85,44,2615,458728.00,
500335,BIRLA CORPN.,A ,Q,611.45,623.00,599.00,611.60,614.10,617.85,260,4393,2704129.00,
500336,SURYA ROSHNI,B ,Q,227.55,231.50,224.35,228.10,227.00,219.45,994,35513,8141313.00,
500337,PRIME SECUR.,B ,Q,36.55,38.75,36.25,38.45,38.45,37.30,168,29924,1135284.00,
500338,PRSMJOHNSN  ,A ,Q,91.10,91.65,90.50,90.90,91.05,91.05,105,9922,901004.00,
500339,RAIN        ,A ,Q,96.35,98.45,95.30,95.70,95.70,96.40,954,55014,5312213.00,
500343,AMJLAND     ,B ,Q,17.40,17.40,16.90,16.95,16.90,17.20,14,919,15797.00,
500350,RSWM  LTD   ,B ,Q,141.75,143.55,139.10,140.85,140.20,144.90,54,1178,165961.00,
500354,RAJSH.SUGAR ,T ,Q,22.00,22.00,21.10,21.20,22.00,22.20,26,2425,51979.00,
500355,RALLIS INDIA,A ,Q,155.20,155.20,151.60,152.35,151.60,154.50,121,3287,501400.00,
500356,RAMANEWS    ,B ,Q,18.00,18.00,17.30,17.60,17.60,18.10,21,4530,79688.00,
500357,RAMA PAPER  ,X ,Q,15.15,15.15,14.50,14.50,14.50,15.15,3,91,1352.00,
500360,RAPICUT CARB,X ,Q,39.60,39.60,39.30,39.55,39.30,39.40,8,999,39534.00,
500365,RMGALLOY    ,X ,Q,11.41,11.70,11.01,11.17,11.01,11.60,29,13395,150623.00,
500366,ROLTA (I)   ,B ,Q,5.47,5.60,5.26,5.37,5.30,5.34,129,85050,468619.00,
500367,RUBFILA INT.,X ,Q,38.00,38.70,37.65,37.95,38.00,38.50,50,2651,100725.00,
500368,RUCHI SOYA  ,B ,Q,4.86,4.86,4.65,4.74,4.74,4.76,124,84774,399657.00,
500370,SALORA INT. ,X ,Q,10.50,10.50,10.50,10.50,10.50,10.50,2,200,2100.00,
500378,JINDAL SAW  ,A ,Q,79.30,79.30,76.65,77.00,77.30,78.70,862,83597,6511875.00,
500380,JK LAKSHMI  ,A ,Q,352.00,352.00,334.60,337.65,338.85,341.95,484,4841,1641959.00,
500387,SHREE CEMENT,A ,Q,21283.50,21390.85,21000.00,21201.65,21200.00,21221.65,324,1444,30675142.00,
500388,SHREE KRISHN,XT,Q,30.00,30.00,30.00,30.00,30.00,30.00,4,151,4530.00,
500390,REL INFRA   ,A ,Q,48.70,48.70,45.30,46.00,46.00,48.95,10366,4375649,203954705.00,
500394,SOLID CARBID,Z ,Q,0.19,0.19,0.19,0.19,0.19,0.20,1,500,95.00,
500399,STEELCO GUJ.,XT,Q,2.96,2.98,2.96,2.97,2.96,3.02,6,2017,5990.00,
500400,TATA POWER  ,A ,Q,69.05,69.05,66.20,66.40,66.40,68.45,1012,259891,17451447.00,
500402,SPMLINFRA   ,B ,Q,17.60,17.60,15.75,16.10,15.75,17.30,35,5133,84197.00,
500403,SUNDARAM FAS,A ,Q,476.00,483.85,458.65,460.75,462.20,474.45,563,7586,3522925.00,
500404,SUNFLAG IRON,B ,Q,36.00,36.00,35.15,35.25,35.15,34.45,59,3483,123435.00,
500405,SUPREME PET ,B ,Q,202.50,204.20,199.60,200.25,200.25,200.00,20,574,115091.00,
500407,SWARAJ ENGIN,B ,Q,1405.00,1409.00,1392.00,1403.90,1403.90,1397.95,87,674,945705.00,
500408,TATA ELXSI  ,A ,Q,850.05,864.55,845.65,849.30,849.30,854.00,643,18882,16087000.00,
500410,ACC LTD     ,A ,Q,1553.85,1564.25,1530.55,1538.15,1530.55,1555.70,1470,29980,46345259.00,
500411,THERMAX     ,A ,Q,1033.20,1043.15,1021.50,1038.15,1032.60,1045.50,222,959,992379.00,
500412,THIRUMALAI  ,B ,Q,74.00,75.40,71.85,72.05,72.05,73.55,294,20614,1502083.00,
500413,THOMAS COOK ,A ,Q,193.00,196.15,191.95,195.60,196.00,193.60,295,7777,1517754.00,
500414,TIMEX GROUP ,X ,Q,38.40,40.00,38.40,39.05,39.40,40.00,40,4386,172116.00,
500420,TORRENT PHAR,A ,Q,1545.80,1558.85,1534.35,1549.80,1542.55,1546.45,645,5680,8802087.00,
500425,AMBUJA CEME ,A ,Q,210.30,211.90,207.90,208.80,208.90,211.15,582,42709,8964714.00,
500426,UTLINDS     ,X ,Q,7.42,7.42,7.42,7.42,7.42,7.81,1,10,74.00,
500429,UNIPHOS ENT.,B ,Q,84.70,84.70,84.70,84.70,84.70,84.40,4,123,10418.00,
500440,HINDALCO    ,A ,Q,196.00,197.25,192.60,194.60,194.60,198.15,1647,292165,56896206.00,
500444,WEST COAS PA,B ,Q,233.65,238.35,233.65,237.10,235.60,235.15,139,3047,721907.00,
500449,HIND.ORG.CHM,B ,Q,19.15,19.70,19.10,19.35,19.65,19.55,79,13755,266865.00,
500456,PAS.ACRYLON ,X ,Q,16.00,16.00,15.30,15.60,15.70,15.50,53,9744,151724.00,
500459,PROCTER &GAM,A ,Q,10927.75,10983.75,10807.00,10906.95,10902.00,10961.00,56,79,861937.00,
500460,MUKAND LTD. ,B ,Q,42.20,42.75,41.90,42.00,42.00,42.40,31,2181,91855.00,
500463,AGCNET      ,B ,Q,103.50,108.00,96.15,103.35,108.00,102.30,65,619,62952.00,
500464,UCAL FUEL   ,B ,Q,137.60,141.10,137.10,138.60,138.45,138.10,64,612,84738.00,
500467,HARR.MALAYAL,B ,Q,67.70,68.00,66.50,66.95,67.75,67.15,45,2990,200684.00,
500469,FEDERAL BANK,A ,Q,106.55,107.80,104.85,105.30,105.30,106.65,1156,256907,27369057.00,
500470,TATA STEEL  ,A ,Q,470.20,474.05,448.10,454.60,454.60,468.35,13877,794634,363663010.00,
500472,SKF INDIA   ,A ,Q,1945.65,1945.65,1915.20,1919.65,1919.65,1954.10,76,238,459179.00,
500477,ASHOK LEYL. ,A ,Q,84.00,85.55,83.55,84.80,84.80,83.70,2370,716335,60413854.00,
500480,CUMMINS (I) ,A ,Q,746.35,750.50,740.00,741.20,740.55,746.55,779,15069,11250993.00,
500483,TATA COMM   ,A ,Q,444.60,468.65,440.70,463.45,467.00,449.35,1008,645407,286553322.00,
500488,ABBOTT (I)  ,A ,Q,8720.70,8900.00,8714.55,8887.00,8900.00,8730.05,70,192,1700256.00,
500490,BAJ HOLD INV,A ,Q,3623.90,3625.45,3560.95,3579.55,3580.00,3613.65,147,428,1540674.00,
500493,BHARAT FORGE,A ,Q,454.00,455.05,439.55,443.20,443.00,454.15,1839,57527,25573401.00,
500495,ESCORTS LTD.,A ,Q,535.00,544.95,531.30,537.25,537.25,536.90,1870,98062,52819034.00,
500500,HIND.MOTORS ,B ,Q,6.27,6.77,6.27,6.59,6.59,6.53,31,4037,26435.00,
500510,LARSEN & TOU,A ,Q,1526.60,1529.45,1483.45,1499.15,1499.15,1526.60,6578,150675,226237144.00,
500520,MAH & MAH   ,A ,Q,631.00,634.70,619.30,621.30,621.30,632.50,2722,91464,57069364.00,
500530,BOSCH LTD   ,A ,Q,15925.10,16000.00,15807.60,15913.80,15890.00,15975.65,111,272,4326190.00,
500540,PREMIER LTD ,T ,Q,4.20,4.20,3.95,3.95,3.95,4.00,2,38,153.00,
500547,BHARAT PET. ,A ,Q,359.10,363.00,346.10,349.60,349.60,360.25,3398,136256,48099194.00,
500550,SIEMENS LTD.,A ,Q,1260.00,1271.40,1206.95,1214.00,1212.60,1259.65,1950,56681,69789533.00,
500570,TATA MOTORS ,A ,Q,156.05,156.30,149.15,151.40,151.40,155.75,14359,2137778,323561953.00,
500575,VOLTAS LTD  ,A ,Q,597.20,599.85,589.65,590.85,590.85,596.60,1066,34496,20480082.00,
500620,GREAT EASTE ,A ,Q,250.00,250.00,240.00,240.85,242.20,248.70,103,5278,1283416.00,
500645,DEEPAK FERT.,A ,Q,107.10,108.70,104.50,104.80,104.50,106.35,381,18844,1997750.00,
500650,EXCEL INDUST,B ,Q,928.20,931.25,913.95,916.85,913.95,925.00,73,425,392500.00,
500655,GARWARE POLY,X ,Q,232.00,232.55,226.00,227.10,229.40,231.00,45,1353,309985.00,
500660,GLAXOSMITH  ,A ,Q,1163.00,1217.40,1159.90,1164.75,1160.00,1167.45,311,1717,2011972.00,
